symbol,gross_proceeds,total_expense,offered_shares,offered_ratio_pct,existing_shares_pct,executive_total_pct,total_assets,total_liabilities,total_equity,revenue_latest,revenue_prev,net_income_latest,net_income_prev
NCAP,660000000.0000,28125500.0000,300000000,33.330000,0.000000,,,,,,,,
NCH,,,,,0.000000,,,,,,,,
NCL,,,,,0.000000,,,,,,,,
NCP,100000000.0000,6221857.0000,50000000,27.780000,0.000000,72.220000,111996288.0000,28061789.0000,83934499.0000,173109557.0000,181026596.0000,12528232.0000,20217987.0000
NDR,,,,,0.000000,,,,,,,,
NEO,3042000000.0000,105782000.0000,87500000,29.170000,10.857143,,7287044793.0000,5719538386.0000,1567506407.0000,9512063931.0000,8322794274.0000,839521104.0000,568678479.0000
NER,,,600000000,38.960000,0.000000,,5134579000.0000,4300908000.0000,833671000.0000,1679158000.0000,9876561161.0000,119273000.0000,224124951.0000
NETBAY,,,,,0.000000,,,,,,,,
NKT,1107000000.0000,43483794.0000,135000000,25.230000,0.000000,7.200000,2013343679.0000,467066623.0000,1546277056.0000,2036885856.0000,1963047854.0000,282290190.0000,320906886.0000
NL,338000000.0000,19262400.0000,130000000,26.000000,0.000000,34.140000,1334550932.0000,774450012.0000,560100920.0000,1218786231.0000,1384792980.0000,57567149.0000,57326633.0000
NOK,,,,,0.000000,,,,,,,,
NRF,1334000000.0000,38300000.0000,340000000,25.080000,14.705882,,,,,,,,
NSL,900000000.0000,43495000.0000,75000000,25.000000,0.000000,,,,,,,,
NTF,360000000.0000,18423800.0000,60000000,30.000000,0.000000,67.000000,227625904.0000,144777837.0000,82848066.9100,1118511106.0000,563319984.0000,64274365.8900,22618659.0000
NTSC,656250000.0000,28067078.0000,25000000,25.000000,0.000000,75.000000,885829672.0000,272813802.0000,613015870.0000,1037860235.0000,853741857.0000,98786862.0000,82054988.0000
NUT,251600000.0000,11367599.0000,37000000,30.830000,0.000000,,,,,,,,
NV,1035000000.0000,45882500.0000,150000000,25.000000,0.000000,34.630000,,,,,,,
NYT,,,,,0.000000,,,,,,,,
OISHI,,,,,0.000000,,,,,,,,
OKJ,1065300000.0000,41438288.0000,159000000,26.100000,0.000000,42.400000,1349931417.0000,772013003.0000,577918414.0000,1716847079.0000,,140647983.0000,
ONEE,4048125000.0000,140585315.0000,496252500,20.800000,4.030710,47.440000,7480907674.0000,5376026842.0000,2104880832.0000,3215098964.0000,2775358332.0000,633897499.0000,178386436.0000
ONSENS,164000000.0000,16218600.0000,80000000,26.670000,0.000000,33.010000,871546371.0000,622582071.0000,248964300.0000,288070944.0000,273300247.0000,33285713.0000,43516324.0000
OR,46980000000.0000,728282761.0000,2610000000,22.500000,0.000000,,147212000000.0000,106001000000.0000,41210751046.0000,319308000000.0000,577134000000.0000,3450043312.0000,10895805229.0000
ORI,,,,,0.000000,,,,,,,,
ORN,,,406500000,27.100000,0.000000,8.760000,3338883871.0000,1169477672.0000,2169406199.0000,1534344835.0000,677603746.0000,281805832.0000,75940365.1100
OSP,12668750000.0000,376525396.0000,603750000,20.100000,16.066253,18.760000,,,,,,,
PACE,,,,,0.000000,,,,,,,,
PACO,364000000.0000,16352000.0000,260000000,26.000000,0.000000,55.370000,1025472374.0000,556832968.0000,468639406.0000,694007311.0000,694007311.0000,30665344.0000,30665344.0000
PANEL,184000000.0000,12732000.0000,50000000,26.320000,0.000000,71.160000,,,,,,,
PB,,,,,0.000000,,,,,,,,
PCC,1228000000.0000,33087310.0000,307000000,25.030000,0.000000,11.650000,,,,,,,
PCE,1710000000.0000,70402000.0000,750000000,27.270000,0.000000,9.820000,5686108414.0000,2731655602.0000,2954452812.0000,24722783146.0000,32677987849.0000,330496566.0000,214403081.0000
PCSGH,,,,,0.000000,,,,,,,,
PDG,,,,,0.000000,,,,,,,,
PEACE,334320000.0000,20295272.0000,84000000,20.000000,0.000000,35.950000,1881376902.0000,487449767.0000,1393927135.0000,866882945.0000,440486914.0000,133714351.0000,44201218.0000
PERM,,,,,0.000000,,,,,,,,
PHG,1134000000.0000,39847970.0000,54000000,18.000000,0.000000,16.120000,1624071117.0000,648572249.0000,975498868.0000,2053313324.0000,1985060680.0000,293103127.0000,317480363.0000
PHOL,,,,,0.000000,,,,,,,,
PIMO,,,,,0.000000,,,,,,,,
PIN,1131000000.0000,38813300.0000,290000000,25.000000,0.000000,8.230000,4667595140.0000,1767236184.0000,2900358956.0000,1128110345.0000,,403894499.0000,
PIS,420000000.0000,23105799.0000,140000000,25.930000,0.000000,2.320000,1140095556.0000,776431656.0000,363663900.0000,1075184965.0000,642605014.0000,104027160.0000,18678676.0000
PJW,,,,,0.000000,,,,,,,,
PLANB,,,,,0.000000,,,,,,,,
PLAT,,,,,0.000000,,,,,,,,
PLE,,,,,0.000000,,,,,,,,
PLT,434000000.0000,13448000.0000,280000000,29.170000,0.000000,31.070000,808527751.9000,396978446.0000,411549305.0000,794160760.5000,665341807.2000,62207943.9200,55067377.4500
PLUS,765000000.0000,29934050.0000,170000000,25.400000,0.000000,49.400000,688431151.0000,412857006.0000,275574145.0000,1106468870.0000,,57218568.0000,
PM,,,,,0.000000,,,,,,,,
PMC,210601300.0000,16600000.0000,115715000,30.000000,0.000000,,902727000.0000,596367000.0000,306360000.0000,828859000.0000,879092000.0000,17414000.0000,18009000.0000
PMTA,,,,,0.000000,,,,,,,,
POLY,816000000.0000,30887168.0000,120000000,26.700000,0.000000,30.900000,1134902270.0000,547684305.0000,587217965.0000,786079304.0000,522689714.0000,120932250.0000,21794182.0000
PORT,540000000.0000,20224500.0000,120000000,26.090000,0.000000,4.650000,,,,,,,
PPP,,,,,0.000000,,,,,,,,
PPS,,,,,0.000000,,,,,,,,
PQS,1020000000.0000,32971000.0000,170000000,25.370000,0.000000,34.200000,1559997769.0000,629215606.0000,930782163.0000,2174627534.0000,1224049361.0000,82086219.0000,67173578.0000
PR9,2320000000.0000,64052004.0000,180000000,23.100000,0.000000,5.320000,2856583368.0000,761555061.0000,2095028307.0000,2455225811.0000,,262255738.0000,
PRAPAT,150000000.0000,22206904.0000,100000000,29.410000,0.000000,53.830000,942921445.0000,594083473.0000,348837972.0000,1003831552.0000,934399854.0000,51602945.0000,36642161.0000
PREB,,,,,0.000000,,,,,,,,
PRI,1200000000.0000,40229000.0000,80000000,25.000000,0.000000,,265378274.0000,76323667.0000,189054607.0000,489563612.0000,266513193.0000,111248066.0000,40047739.0000
PRIN,,,,,0.000000,,,,,,,,
PRINC,,,,,0.000000,,,,,,,,
PRM,4000000000.0000,93574414.0000,650000000,26.000000,23.076923,,,,,,,,
PROEN,,,86000000,27.200000,0.000000,46.500000,666936360.0000,516456473.0000,150479887.0000,1001108188.0000,882635490.0000,25274959.0000,16607400.0000
PROS,280000000.0000,15102500.0000,140000000,25.930000,0.000000,90.000000,654647016.0000,355009163.0000,299637853.0000,938168473.0000,937117716.0000,51125569.0000,27448273.0000
PRTR,1080000000.0000,37184000.0000,150000000,25.000000,0.000000,50.800000,1505724396.0000,1054595493.0000,451128903.0000,6116780715.0000,5558309128.0000,199413292.0000,183203074.0000
PS,,,,,0.000000,,,,,,,,
PSP,2170000000.0000,68564182.0000,350000000,25.000000,0.000000,24.900000,7326153482.0000,6883460385.0000,442693097.0000,13204386695.0000,10076697175.0000,546371197.0000,400000074.0000
PSTC,,,,,0.000000,,,,,,,,
PTC,385000000.0000,16622925.0000,110000000,26.830000,0.000000,4.590000,626837170.0000,292002807.0000,334834363.0000,253390614.0000,176842892.0000,111061576.0000,55429404.0000
PTG,,,,,0.000000,,,,,,,,
PTL,,,,,0.000000,,,,,,,,
PTT,,,,,0.000000,,,,,,,,
PYLON,,,,,0.000000,,,,,,,,
Q-CON,,,,,0.000000,,,,,,,,
QLT,,,,,0.000000,,,,,,,,
QTC,,,,,0.000000,,,,,,,,
QTCG,216000000.0000,15596400.0000,180000000,30.000000,0.000000,56.000000,825426729.0000,527585993.0000,297840736.0000,751719116.0000,914029789.0000,22034199.0000,101761093.0000
RBF,,,520000000,26.000000,0.000000,,,,,,,,
READY,109500000.0000,9623250.0000,35000000,35.000000,57.142857,46.540000,250078035.0000,175903233.0000,74174802.0000,151323377.0000,155927561.0000,13818798.0000,-99051232.0000
RICH,,,,,0.000000,,,,,,,,
RICHY,,,,,0.000000,,,,,,,,
RJH,,,,,0.000000,,,,,,,,
RP,,,,,0.000000,,,,,,,,
RPC,,,,,0.000000,,,,,,,,
RPH,,,163780000,30.000000,0.000000,,514215049.0000,135213018.0000,379002031.0000,380827566.0000,376032836.0000,44986659.0000,48481533.0000
RS,,,,,0.000000,,,,,,,,
RSP,1160000000.0000,41555000.0000,200000000,25.970000,0.000000,34.540000,873336209.8000,212386020.2000,660950189.6000,1358844815.0000,,298763081.7000,
RT,576000000.0000,24622841.0000,300000000,27.270000,0.000000,,3730542972.0000,3143198723.0000,587344249.0000,2366264237.0000,1889682721.0000,130663479.0000,-65213019.0000
RWI,,,,,0.000000,,,,,,,,
S,,,,,0.000000,,,,,,,,
S11,,,,,0.000000,,,,,,,,
SA,825000000.0000,47540199.0000,150000000,13.490000,0.000000,36.000000,13046848000.0000,10531406000.0000,2515442000.0000,3469648000.0000,,618321000.0000,
SAAM,144000000.0000,11535800.0000,80000000,26.670000,0.000000,66.670000,302485005.0000,140287800.0000,162197205.0000,73476789.0000,73791087.0000,19130279.0000,30841863.0000
SABINA,,,,,0.000000,,,,,,,,
SAF,154400000.0000,12056234.0000,80000000,26.670000,0.000000,59.200000,,,,,,,
SAFE,502903800.0000,39000000.0000,76748600,25.250000,68.797086,49.753000,1412687946.0000,202447651.0000,1210240295.0000,726612604.0000,559728513.0000,161731981.0000,78234942.0000
SAK,2020200000.0000,69878100.0000,546000000,26.050000,0.000000,57.300000,,,,,,,
SALEE,,,,,0.000000,,,,,,,,
SANKO,,,,,0.000000,,,,,,,,
SAPPE,,,,,0.000000,,,,,,,,
SAT,,,,,0.000000,,,,,,,,
SAV,1216000000.0000,41472562.0000,166000000,25.940000,61.445783,74.060000,2249305755.0000,1910168628.0000,339137127.0000,1220070467.0000,459037121.0000,199548173.0000,-74345718.0000
SAWAD,,,,,0.000000,,,,,,,,
SC,,,,,0.000000,,,,,,,,
SCG,,,,,0.000000,,,,,,,,
SCGD,5049650000.0000,156348565.0000,439100000,26.610000,0.000000,,40575890000.0000,21263986000.0000,19311904000.0000,30253831000.0000,25937432000.0000,643107000.0000,1401910000.0000
SCGP,39464250000.0000,786083670.0000,1127550000,26.500000,0.000000,27.600000,69780933000.0000,46479709000.0000,23301224000.0000,3154113000.0000,,1245648000.0000,
SCI,,,,,0.000000,,,,,,,,
SCL,107800000.0000,11576600.0000,70000000,25.000000,0.000000,58.000000,1038980518.0000,796941917.0000,242038601.0000,1359932152.0000,1264500541.0000,39914607.0000,29829458.0000
SCM,285000000.0000,15271000.0000,150000000,25.000000,0.000000,72.000000,385311602.0000,109371925.0000,275939677.0000,1100755009.0000,1424250746.0000,59044081.0000,70686825.0000
SCN,,,,,0.000000,,,,,,,,
SE,147000000.0000,9897870.0000,60000000,25.000000,0.000000,50.022000,227598369.5000,111817212.0000,115781156.0000,410815910.0000,,31061175.1800,
SEAOIL,,,,,0.000000,,,,,,,,
SECURE,443856000.0000,23136608.0000,27741000,27.000000,0.000000,39.000000,304933151.0000,191268164.0000,113664987.0000,611938741.0000,622995914.0000,23548185.0000,59440605.0000
SEI,155000000.0000,10959892.0000,50000000,29.410000,0.000000,,302431601.0000,223200192.0000,79231409.0000,393566226.0000,320549635.0000,21870684.0000,17863201.0000
SELIC,,,,,0.000000,,,,,,,,
SENA,,,,,0.000000,,,,,,,,
SFLEX,426800000.0000,18845558.0000,110000000,26.830000,0.000000,,,,,,,,
SFT,456000000.0000,27975779.0000,240000000,27.270000,50.000000,,425290722.2000,197221046.7000,228069675.6000,586396148.0000,,56896664.0000,
SGC,3198000000.0000,93154960.0000,820000000,25.080000,0.000000,,12740114000.0000,10170588000.0000,2569526000.0000,494797000.0000,,155539000.0000,
SGP,,,,,0.000000,,,,,,,,
SHR,7474771200.0000,253940000.0000,1437456000,40.000000,0.000000,0.000000,,,,,,,
SICT,138000000.0000,8107800.0000,100000000,25.000000,0.000000,63.110000,257511120.0000,55457734.0000,202053386.0000,308798296.0000,,24456577.0000,
SIMAT,,,,,0.000000,,,,,,,,
SINO,336000000.0000,21378000.0000,292000000,28.080000,17.808219,59.110000,1208338429.0000,560349438.0000,647988991.0000,5930591052.0000,4684990732.0000,691246414.0000,319043434.0000
SISB,1352000000.0000,52940960.0000,260000000,27.660000,0.000000,61.780000,2082406000.0000,1851613000.0000,230793000.0000,452980000.0000,,43690000.0000,
SK,,,115348120,25.080000,0.000000,6.900000,,,,,,,
SKE,426960000.0000,30212662.0000,237200000,25.510000,0.000000,53.550000,762178335.0000,131597077.0000,630581258.0000,414379924.0000,363192800.0000,125584598.0000,116573244.0000
SKIN,52800000.0000,10803465.0000,44000000,30.550000,0.000000,69.450000,85145527.9800,23457142.0000,61688385.0000,230534075.7000,272796377.6000,10669588.6400,16786878.3200
SKN,1470000000.0000,43927200.0000,200000000,25.000000,0.000000,,,,,,,,
SLP,,,,,0.000000,,,,,,,,
SMART,,,,,0.000000,,,,,,,,
SMIT,,,,,0.000000,,,,,,,,
SMO,1250640000.0000,57313520.0000,231600000,25.170000,0.000000,20.220000,3501908458.0000,2012814869.0000,1489093589.0000,6268782251.0000,5894142694.0000,259622659.0000,218782714.0000
SMT,,,,,0.000000,,,,,,,,
SNC,,,,,0.000000,,,,,,,,
SNNP,2208000000.0000,68700000.0000,240000000,25.000000,0.000000,85.000000,3976232883.0000,3515805782.0000,460427101.0000,4435668270.0000,,74179724.0000,
SNPS,441000000.0000,20456088.0000,105000000,25.930000,0.000000,37.530000,671979568.0000,190678737.0000,481300831.0000,368090871.0000,502656234.0000,28358829.0000,67998448.0000
SO,552500000.0000,25266100.0000,170000000,27.420000,50.000000,16.190000,1089921488.0000,774036633.0000,315884855.0000,1955985942.0000,1850880551.0000,109058235.0000,101015111.0000
SOLAR,,,,,0.000000,,,,,,,,
SPA,,,,,0.000000,,,,,,,,
SPACK,,,,,0.000000,,,,,,,,
SPCG,,,,,0.000000,,,,,,,,
SPRC,,,,,0.000000,,,,,,,,
SPREME,468000000.0000,18737000.0000,200000000,27.020000,10.000000,36.480000,669759413.0000,291225435.0000,378533978.0000,1276409145.0000,1037503871.0000,156593333.0000,99244696.0000
SPVI,,,,,0.000000,,,,,,,,
SQ,1216000000.0000,40239840.0000,380000000,33.630000,0.000000,,,,,,,,
SR,,,,,0.000000,,,,,,,,
SRICHA,,,,,0.000000,,,,,,,,
SRS,640000000.0000,25342031.0000,40000000,25.000000,0.000000,,311460518.0000,241073851.0000,70386667.0000,412008496.0000,164888309.0000,68687456.0000,32409269.5100
SSP,1773887500.0000,42709560.0000,276375000,30.000000,16.644052,15.100000,4962643464.0000,3665833959.0000,1296809505.0000,876711006.0000,852576579.0000,447388228.0000,500677131.0000
STC,148000000.0000,6698800.0000,148000000,26.060000,0.000000,68.350000,552680514.0000,272095721.0000,280584793.0000,380946514.0000,373762251.0000,15411258.0000,15531884.0000
STECH,565730000.0000,15408505.0000,203500000,28.070000,0.000000,23.100000,,,,,,,
STGT,14782520000.0000,309536986.0000,444780000,31.000000,0.000000,6.950000,12785305027.0000,8569978079.0000,4215326948.0000,3016303977.0000,,104672177.0000,
STI,428400000.0000,17585880.0000,68000000,25.370000,0.000000,48.510000,,,,,,,
STP,457200000.0000,21725633.0000,25400000,25.400000,0.000000,53.290000,441371244.0000,301033379.0000,140337864.0000,440576119.7000,370226204.8000,95406018.2400,59038191.0000
STX,195000000.0000,22520000.0000,65000000,21.480000,0.000000,62.880000,756219398.0000,112781895.0000,643437503.0000,316315015.0000,273468419.0000,38036319.0000,21555928.0000
SUN,,,130000000,30.230000,0.000000,,770032846.0000,620559935.0000,149472911.0000,1709288243.0000,1668901689.0000,111553084.0000,6943896.0000
SUPER,,,,,0.000000,,,,,,,,
SUTHA,,,,,0.000000,,,,,,,,
SVR,286000000.0000,11647500.0000,130000000,25.490000,0.000000,12.400000,847935521.0000,367473418.0000,480462103.0000,559250188.0000,549178681.0000,63345541.0000,43546947.0000
SVT,508000000.0000,18364000.0000,200000000,28.570000,0.000000,7.660000,1089742179.0000,477307619.0000,612434560.0000,1767363112.0000,2277144911.0000,55538981.0000,105131255.0000
SYMC,,,,,0.000000,,,,,,,,
SYNEX,,,,,0.000000,,,,,,,,
TACC,,,,,0.000000,,,,,,,,
TAE,,,,,0.000000,,,,,,,,
TAKUNI,,,,,0.000000,,,,,,,,
TAN,1278750000.0000,45733363.0000,77500000,25.800000,0.000000,74.150000,1866035843.0000,1540907470.0000,325128373.0000,1288413677.0000,782751668.0000,122099394.0000,-34625001.0000
TATG,125000000.0000,9200000.0000,100000000,25.000000,0.000000,18.140000,2215865442.0000,1303048393.0000,912817049.0000,3002912298.0000,2922472288.0000,47867559.0000,108156953.0000
TBN,425000000.0000,18033000.0000,25000000,25.000000,0.000000,55.500000,270591092.0000,193846562.0000,76744530.0000,360552313.0000,291194634.0000,35563503.0000,84040139.0000
TEAM,,,,,0.000000,,,,,,,,
TEGH,1296000000.0000,41435150.0000,270000000,25.000000,0.000000,7.300000,,,,,,,
TEKA,345000000.0000,16553975.0000,75000000,25.000000,0.000000,0.000000,1274348648.0000,811541781.0000,462806867.3000,1605042222.0000,2474560227.0000,126017562.6000,87174487.0000
TERA,,,90000000,37.500000,0.000000,16.460000,330304982.0000,224310812.0000,105994170.0000,604086673.0000,559981414.0000,28956316.0000,25796061.0000
TFG,,,,,0.000000,,,,,,,,
TGE,1200000000.0000,45480000.0000,600000000,27.270000,0.000000,,2690434190.0000,1810513704.0000,879920486.0000,650935377.0000,,166905335.0000,
THANA,,,,,0.000000,,,,,,,,
THANI,,,,,0.000000,,,,,,,,
THE,,,,,0.000000,,,,,,,,
THG,3230000000.0000,130344240.0000,85000000,10.010000,0.000000,1.960000,,,,,,,
THMUI,247528500.0000,12510478.0000,97070000,28.550000,0.000000,25.500000,,,,,,,
THREL,,,,,0.000000,,,,,,,,
TIDLOR,7694809550.0000,271078006.0000,907428600,39.100000,76.767682,,,,,,,,
TIGER,446322000.0000,15312017.0000,122280000,26.580000,0.000000,71.950000,,,,,,,
TITLE,264000000.0000,14000000.0000,127200000,30.000000,94.339623,,526826479.1000,294576003.6000,232250475.5000,362795980.4000,127939726.5000,90978891.3200,10222879.9900
TK,,,,,0.000000,,,,,,,,
TKC,1404000000.0000,46243375.0000,78000000,26.000000,0.000000,52.000000,,,,,,,
TKN,,,,,0.000000,,,,,,,,
TKS,,,,,0.000000,,,,,,,,
TLI,13600000000.0000,373953417.0000,2155068900,18.800000,60.558106,4.870000,,,,,,,
TM,,,,,0.000000,,,,,,,,
TMAN,1164309000.0000,38670882.0000,102000000,25.500000,29.970588,20.300000,2627252023.0000,1107854366.0000,1519397657.0000,1980040580.0000,2024654717.0000,431092358.0000,472523704.0000
TMC,,,,,0.000000,,,,,,,,
TMI,,,,,0.000000,,,,,,,,
TMILL,,,,,0.000000,,,,,,,,
TMT,,,,,0.000000,,,,,,,,
TMW,,,,,0.000000,,,,,,,,
TNDT,,,,,0.000000,,,,,,,,
TNH,,,,,0.000000,,,,,,,,
TNITY,,,,,0.000000,,,,,,,,
TNP,,,,,0.000000,,,,,,,,
TNR,600000000.0000,18766711.0000,75000000,25.000000,50.000000,34.800000,,,,,,,
TOA,6096000000.0000,208762215.0000,507600000,25.020000,49.960599,45.000000,9694207000.0000,7609986000.0000,2084221000.0000,3977797000.0000,16528825341.0000,496272000.0000,2507371679.0000
TOG,,,,,0.000000,,,,,,,,
TOP,,,,,0.000000,,,,,,,,
TPAC,,,,,0.000000,,,,,,,,
TPBI,,,,,0.000000,,,,,,,,
TPCH,,,,,0.000000,,,,,,,,
TPIPP,17500000000.0000,421970000.0000,,,0.000000,,,,,,,,
TPL,396000000.0000,15797500.0000,120000000,22.900000,0.000000,36.820000,640861385.0000,205009169.0000,435852216.0000,480753613.0000,525115630.0000,21111212.0000,25287477.0000
TPLAS,103600000.0000,8000000.0000,70000000,25.930000,0.000000,66.000000,,,,,,,
TPOLY,,,,,0.000000,,,,,,,,
TPS,,,80000000,28.570000,0.000000,,,,,,,,
TQM,1725000000.0000,54220172.0000,75000000,25.000000,0.000000,19.100000,1860124000.0000,1401892000.0000,458232000.0000,603986000.0000,2281668915.0000,94600000.0000,268307003.0000
TQR,306000000.0000,10228000.0000,60000000,26.090000,0.000000,11.000000,,,,,,,
TRC,,,,,0.000000,,,,,,,,
TRP,1260000000.0000,44725000.0000,90000000,25.710000,0.000000,25.380000,802806251.5000,233478919.2000,569327332.3000,854073594.3000,427763137.2000,270269940.4000,112682768.9000
TRT,,,,,0.000000,,,,,,,,
TRV,125499500.0000,7667235.0000,54565000,25.980000,0.000000,14.280000,,,,,,,
TSC,,,,,0.000000,,,,,,,,
TSE,,,,,0.000000,,,,,,,,
TSR,,,,,0.000000,,,,,,,,
TTCL,,,,,0.000000,,,,,,,,
TTW,,,,,0.000000,,,,,,,,
TURBO,671670000.0000,26087376.0000,537000000,20.100000,16.614525,42.800000,,,,,,,
TVT,,,,,0.000000,,,,,,,,
TWZ,,,,,0.000000,,,,,,,,
TYCN,,,,,0.000000,,,,,,,,
UAC,,,,,0.000000,,,,,,,,
UBA,289000000.0000,18052350.0000,170000000,28.330000,0.000000,,550123767.0000,306918471.0000,243205295.0000,533590569.0000,532687296.0000,52350549.7200,43432565.0000
UBE,2818286400.0000,81500000.0000,1370000000,35.000000,14.285693,18.000000,6901770567.0000,3846485652.0000,3055284915.0000,4434454482.0000,4690183750.0000,99331107.0000,-42554711.0200
UBIS,,,,,0.000000,,,,,,,,
UEC,,,,,0.000000,,,,,,,,
UKEM,,,,,0.000000,,,,,,,,
UMS,,,,,0.000000,,,,,,,,
UNIQ,,,,,0.000000,,,,,,,,
UOBKH,,,,,0.000000,,,,,,,,
UREKA,,,,,0.000000,,,,,,,,
UTP,,,,,0.000000,,,,,,,,
UVAN,,,,,0.000000,,,,,,,,
VCOM,230400000.0000,10960520.0000,80000000,26.670000,0.000000,,,,,,,,
VGI,,,,,0.000000,,,,,,,,
VIH,,,,,0.000000,,,,,,,,
VPO,,,,,0.000000,,,,,,,,
VRANDA,750000000.0000,26296708.0000,75000000,23.460000,0.000000,36.160000,5173860803.0000,4039304211.0000,1134556592.0000,1210604070.0000,,-17853005.0000,
WARRIX,1134000000.0000,46188000.0000,180000000,30.000000,0.000000,,779028538.0000,612399116.3000,166629421.7000,655351826.0000,700115897.0000,13317208.4300,12988894.7300
WASH,397058820.0000,17633214.0000,105882352,30.000000,50.000000,,2211072353.0000,1505956827.0000,705115526.0000,823578409.0000,657054982.0000,83471396.0000,67279546.0000
WFX,1022400000.0000,33914270.0000,142000000,30.590000,0.000000,,1687929949.0000,860067515.0000,827862434.0000,2408659334.0000,2053865711.0000,57812162.0000,7724725.0000
WGE,,,160000000,26.670000,0.000000,78.000000,681423113.2000,388889222.0000,292533890.0000,1506944573.0000,,114656021.2000,
WHA,,,,,0.000000,,,,,,,,
WHAUP,3281250000.0000,100230840.0000,229500000,30.000000,45.533769,,,,,,,,
WICE,,,,,0.000000,,,,,,,,
WINDOW,512820000.0000,30950910.0000,244200000,27.500000,0.000000,23.400000,1061491225.0000,564071249.0000,497419976.0000,897154460.0000,810462963.0000,74518056.0000,99276561.0000
WINMED,,,120000000,30.000000,0.000000,,492103980.5000,303311778.0000,188792202.0000,530537777.0000,492377677.0000,51589780.5700,37186120.2100
WINNER,,,,,0.000000,,,,,,,,
WPH,,,150000000,25.000000,0.000000,,631257170.0000,280288467.0000,350968703.0000,551737364.0000,479476991.0000,71997226.0000,41728349.0000
XO,,,,,0.000000,,,,,,,,
YGG,225000000.0000,12763000.0000,45000000,25.000000,0.000000,67.000000,164966034.0000,44714512.0000,120251522.3000,173540976.0000,135577769.0000,21093168.0000,14023231.0000
YONG,450000000.0000,16153200.0000,180000000,26.470000,0.000000,43.590000,1102928213.0000,669375397.0000,433552816.0000,715352484.0000,666405280.0000,68940193.0000,44344600.0000
YUASA,,,,,0.000000,,,,,,,,
ZEN,975000000.0000,26258300.0000,75000000,25.000000,0.000000,,1588858456.0000,1223289119.0000,365569337.0000,2515168563.0000,2158106201.0000,81812001.0000,92455773.0000
ZIGA,,,130000000,25.000000,0.000000,,626444026.0000,311102707.0000,315341319.0000,919783729.0000,679996202.0000,226126365.0000,62069260.0000
