symbol,gross_proceeds,total_expense,offered_shares,offered_ratio_pct,existing_shares_pct,executive_total_pct,total_assets,total_liabilities,total_equity,revenue_latest,revenue_prev,net_income_latest,net_income_prev
BR,,,,,0.000000,,,,,,,,
BRI,2652825000.0000,66125000.0000,252650000,29.600000,0.000000,,7034947191.0000,6106948564.0000,927998627.0000,2342093101.0000,1530411161.0000,348722036.0000,210724135.0000
BROCK,,,,,0.000000,,,,,,,,
BRR,,,,,0.000000,,,,,,,,
BSBM,,,,,0.000000,,,,,,,,
BSM,,,,,0.000000,,,,,,,,
BTG,17392000000.0000,431681200.0000,500000000,25.000000,0.000000,,58149523000.0000,39390632000.0000,18758891000.0000,54193175000.0000,86743656677.0000,1925574000.0000,838950988.0000
BTW,,,,,0.000000,,,,,,,,
BVG,,,157500000,35.000000,42.857143,,,,,,,,
BWG,,,,,0.000000,,,,,,,,
CAZ,312000000.0000,19756600.0000,80000000,28.570000,0.000000,42.340000,,,,,,,
CBG,,,,,0.000000,,,,,,,,
CCP,,,,,0.000000,,,,,,,,
CEYE,270200000.0000,14950600.0000,70000000,25.930000,0.000000,,434590377.0000,125712084.0000,308878293.0000,266239806.0000,230285840.0000,28446908.0000,14622777.0000
CFARM,201150000.0000,9531575.0000,149000000,25.690000,0.000000,41.610000,753856455.0000,312271409.0000,441585046.0000,124236302.0000,224415987.0000,5922156.0000,27069277.0000
CH,,,160000000,20.000000,0.000000,10.710000,1700511774.0000,881397250.0000,819114524.0000,1442278169.0000,1634472881.0000,67066943.0000,67288213.0000
CHAO,553940380.0000,27820366.0000,87684100,29.200000,46.462243,12.900000,870157130.0000,272325329.0000,597831801.0000,1509870128.0000,1425298257.0000,161609669.0000,86573014.0000
CHASE,1209300000.0000,35785860.0000,,,0.000000,55.120000,2506000213.0000,588401453.0000,1917598760.0000,781073303.0000,730197147.0000,270875180.0000,171383075.0000
CHAYO,403200000.0000,20983560.0000,140000000,25.000000,0.000000,58.033800,415480660.0000,82260827.0000,333219833.0000,6266280.0000,3057000.0000,58240391.0000,70891322.0000
CHEWA,,,,,0.000000,,,,,,,,
CHG,,,,,0.000000,,,,,,,,
CHIC,324000000.0000,15264664.0000,360000000,26.470000,0.000000,53.100000,1835662635.0000,1231123971.0000,604538664.0000,673869473.0000,707516187.0000,19279175.0000,34151722.0000
CHO,,,,,0.000000,,,,,,,,
