symbol,Market,Industry Group (กลุ่มอุตสาหกรรม),Sector (หมวดธุรกิจ)
SK,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง
SKE,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
SKIN,mai,สินค้าอุปโภคบริโภค,-
SKN,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง
SMO,SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร
SNNP,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
SNPS,SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์
SO,SET,บริการ,บริการเฉพาะกิจ
SPREME,SET,บริการ,สื่อและสิ่งพิมพ์
SQ,SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง
SRS,mai,เทคโนโลยี,-
SSP,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
STC,mai,อสังหาริมทรัพย์และก่อสร้าง,-
STECH,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง
STGT,SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์
STI,mai,อสังหาริมทรัพย์และก่อสร้าง,-
STP,mai,สินค้าอุตสาหกรรม,-
STX,mai,อสังหาริมทรัพย์และก่อสร้าง,-
SUN,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
SVR,mai,อสังหาริมทรัพย์และก่อสร้าง,-
SVT,SET,บริการ,พาณิชย์
TAN,SET,บริการ,พาณิชย์
TATG,mai,สินค้าอุตสาหกรรม,-
TBN,mai,เทคโนโลยี,-
TEBP,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
TEGH,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
TEKA,SET,บริการ,บริการเฉพาะกิจ
TERA,mai,เทคโนโลยี,-
TGE,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
THG,SET,บริการ,การแพทย์
THMUI,mai,บริการ,-
TIDLOR,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
TIGER,mai,อสังหาริมทรัพย์และก่อสร้าง,-
TITLE,SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์
TKC,SET,บริการ,สื่อและสิ่งพิมพ์
TLI,SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต
TMAN,SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์
TNCC,SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม
TOA,SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง
TPIPP,SET,ทรัพยากร,พลังงานและสาธารณูปโภค
TPL,SET,บริการ,ขนส่งและโลจิสติกส์
TPLAS,SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร
TPS,mai,เทคโนโลยี,-
TQM,SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต
TQR,mai,ธุรกิจการเงิน,-
TRP,mai,บริการ,-
TRV,mai,สินค้าอุตสาหกรรม,-
TURBO,SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์
UBA,mai,บริการ,-
